server_timestamp,arduino_timestamp,X,Y,Z
2025-11-02 20:34:10.131,1059102,-0.750,-0.031,-0.625
2025-11-02 20:34:10.375,1059341,-0.750,0.094,-0.656
2025-11-02 20:34:10.611,1059581,-0.750,-0.250,-0.562
2025-11-02 20:34:10.835,1059809,-0.719,-0.375,-0.469
2025-11-02 20:34:11.072,1060037,-0.687,-0.531,-0.187
2025-11-02 20:34:11.299,1060272,-0.781,-0.562,-0.219
2025-11-02 20:34:11.533,1060501,-0.625,-0.625,0.000
2025-11-02 20:34:11.772,1060743,-0.781,-0.781,0.000
2025-11-02 20:34:12.010,1060984,-0.562,-0.812,0.062
2025-11-02 20:34:12.245,1061211,-0.531,-0.687,0.062
2025-11-02 20:34:12.482,1061452,-0.687,-0.594,0.062
2025-11-02 20:34:12.713,1061680,-0.750,-0.562,0.094
2025-11-02 20:34:12.945,1061919,-0.812,-0.469,0.000
2025-11-02 20:34:13.178,1062148,-0.844,-0.437,-0.125
2025-11-02 20:34:13.405,1062378,-0.812,-0.500,0.094
2025-11-02 20:34:13.633,1062607,-0.844,-0.531,0.187
2025-11-02 20:34:13.861,1062835,-0.656,-0.656,0.594
2025-11-02 20:34:14.095,1063063,-0.187,-0.406,0.594
2025-11-02 20:34:14.324,1063295,0.031,-0.437,0.844
2025-11-02 20:34:14.556,1063526,0.187,-0.406,0.812
2025-11-02 20:34:14.790,1063756,0.250,-0.406,0.781
2025-11-02 20:34:15.026,1063995,0.219,-0.469,0.750
2025-11-02 20:34:15.253,1064225,0.125,-0.375,0.594
2025-11-02 20:34:15.482,1064453,-0.125,-0.812,1.000
2025-11-02 20:34:15.718,1064691,-0.406,-0.656,0.625
2025-11-02 20:34:15.946,1064919,-0.656,-0.625,0.437
2025-11-02 20:34:16.184,1065148,-0.719,-0.625,0.375
2025-11-02 20:34:16.420,1065390,-0.750,-0.500,0.281
2025-11-02 20:34:16.650,1065621,-0.750,-0.594,0.344
2025-11-02 20:34:16.899,1065851,-0.719,-0.656,0.437
2025-11-02 20:34:17.125,1066099,-0.406,-0.687,0.687
2025-11-02 20:34:17.360,1066327,0.000,-0.500,0.750
2025-11-02 20:34:17.590,1066564,0.125,-0.437,0.687
2025-11-02 20:34:17.820,1066792,0.187,-0.437,0.750
2025-11-02 20:34:18.045,1067019,0.219,-0.500,0.781
2025-11-02 20:34:18.281,1067256,-0.094,-0.562,0.656
2025-11-02 20:34:18.511,1067483,-0.312,-0.687,0.531
2025-11-02 20:34:18.741,1067714,-0.531,-0.625,0.406
2025-11-02 20:34:18.999,1067943,-0.594,-0.656,0.312
2025-11-02 20:34:19.229,1068201,-0.750,-0.531,0.281
2025-11-02 20:34:19.467,1068431,-0.750,-0.562,0.250
2025-11-02 20:34:19.699,1068673,-0.719,-0.656,0.375
2025-11-02 20:34:19.927,1068901,-0.500,-0.719,0.625
2025-11-02 20:34:20.158,1069129,-0.094,-0.625,0.656
